Record,Date,TIMEVALUE,Serial Time,Time Test,Temp (F),Temp (C ),dew_pt,hum,Wind Speed (mph),Wind Speed (m/s),Vh,Power Generation,KWH,Capacity Factor,wind_gust,dir,vis,pressure,wind_chill,heat_index,precip,precip_rate,precip_total,Weather Condition,fog,rain,snow,hail,thunder,tornado,Condition
799,2/3/2016 6:51,6:51:00 AM,3663643860,1,46.9,8.28,41,80,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,ESE,10,30.21,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
800,2/3/2016 7:51,7:51:00 AM,3663647460,1,48,8.89,43,83,12.7,5.68,11.33,1682415.79,1682.42,0.84,21.9,ESE,10,30.2,NA,NA,0,NA,NA,Light Rain,0,1,0,0,0,0,5
819,2/4/2016 2:51,2:51:00 AM,3663715860,1,53.1,11.72,50,89,4.6,2.06,4.1,79945.8,79.95,0.04,NA,ESE,10,29.91,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
820,2/4/2016 3:51,3:51:00 AM,3663719460,1,51.1,10.61,48,89,4.6,2.06,4.1,79945.8,79.95,0.04,NA,ESE,10,29.89,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
901,2/7/2016 12:51,12:51:00 PM,3664011060,1,44.1,6.72,21.9,42,4.6,2.06,4.1,79945.8,79.95,0.04,NA,ESE,10,30.14,41.5,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
953,2/9/2016 16:51,4:51:00 PM,3664198260,1,35.1,1.72,23,61,3.5,1.56,3.12,35214.89,35.21,0.02,NA,ESE,10,29.6,32.2,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
957,2/9/2016 20:51,8:51:00 PM,3664212660,1,33.1,0.61,23,66,4.6,2.06,4.1,79945.8,79.95,0.04,NA,ESE,9,29.64,28.7,NA,0,NA,NA,Light Snow,0,0,1,0,0,0,5
1241,2/21/2016 16:51,4:51:00 PM,3665235060,1,51.1,10.61,34,52,3.5,1.56,3.12,35214.89,35.21,0.02,NA,ESE,10,29.9,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
1457,3/1/2016 16:51,4:51:00 PM,3666012660,1,44.1,6.72,30.9,60,15,6.71,13.38,2000000,2000,1,24.2,ESE,10,30.03,37.1,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1458,3/1/2016 17:51,5:51:00 PM,3666016260,1,44.1,6.72,34,68,15,6.71,13.38,2000000,2000,1,NA,ESE,10,30,37.1,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1459,3/1/2016 18:51,6:51:00 PM,3666019860,1,44.1,6.72,37.9,79,17.3,7.73,15.43,2000000,2000,1,NA,ESE,10,29.97,36.5,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1461,3/1/2016 20:51,8:51:00 PM,3666027060,1,46.9,8.28,41,80,16.1,7.2,14.36,2000000,2000,1,NA,ESE,10,29.85,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
1513,3/4/2016 0:51,12:51:00 AM,3666214260,1,32,0,24.1,73,3.5,1.56,3.12,35214.89,35.21,0.02,NA,ESE,3,30.19,28.7,NA,0,NA,NA,Light Snow,0,0,1,0,0,0,5
1622,3/8/2016 13:51,1:51:00 PM,3666606660,1,55.9,13.28,37.9,51,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,ESE,10,30.15,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1625,3/8/2016 16:51,4:51:00 PM,3666617460,1,51.1,10.61,39.9,66,9.2,4.11,8.21,639566.42,639.57,0.32,NA,ESE,10,30.14,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1626,3/8/2016 17:51,5:51:00 PM,3666621060,1,48.9,9.39,42.1,77,10.4,4.65,9.28,923894.09,923.89,0.46,NA,ESE,10,30.14,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
1631,3/8/2016 22:51,10:51:00 PM,3666639060,1,45,7.22,42.1,90,5.8,2.59,5.17,160252.99,160.25,0.08,NA,ESE,10,30.17,41.8,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1636,3/9/2016 3:51,3:51:00 AM,3666657060,1,41,5,37.9,89,4.6,2.06,4.1,79945.8,79.95,0.04,NA,ESE,7,30.14,38,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
1751,3/13/2016 22:51,10:51:00 PM,3667071060,1,51.1,10.61,35.1,54,6.9,3.08,6.15,269817.08,269.82,0.13,NA,ESE,10,30.13,NA,NA,0,NA,NA,Overcast,0,0,0,0,0,0,5
1753,3/14/2016 0:51,12:51:00 AM,3667078260,1,51.1,10.61,37,59,8.1,3.62,7.22,436492.95,436.49,0.22,NA,ESE,10,30.14,NA,NA,0,NA,NA,Light Rain,0,1,0,0,0,0,5
1754,3/14/2016 1:51,1:51:00 AM,3667081860,1,50,10,35.1,57,10.4,4.65,9.28,923894.09,923.89,0.46,NA,ESE,10,30.13,NA,NA,0,NA,NA,Overcast,0,0,0,0,0,0,5
1755,3/14/2016 2:51,2:51:00 AM,3667085460,1,51.1,10.61,33.1,50,10.4,4.65,9.28,923894.09,923.89,0.46,NA,ESE,10,30.12,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
1808,3/16/2016 7:51,7:51:00 AM,3667276260,1,46,7.78,44.1,93,3.5,1.56,3.12,35214.89,35.21,0.02,NA,ESE,10,29.88,44.8,NA,NA,NA,NA,Shallow Fog,1,0,0,0,0,0,5
1821,3/16/2016 20:51,8:51:00 PM,3667323060,1,48.9,9.39,45,86,8.1,3.62,7.22,436492.95,436.49,0.22,NA,ESE,10,29.85,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
1822,3/16/2016 21:51,9:51:00 PM,3667326660,1,48.9,9.39,45,86,9.2,4.11,8.21,639566.42,639.57,0.32,NA,ESE,10,29.86,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
1823,3/16/2016 22:51,10:51:00 PM,3667330260,1,48,8.89,42.1,80,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,ESE,10,29.86,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
2005,3/24/2016 12:51,12:51:00 PM,3667985460,1,54,12.22,39.9,59,20.7,9.25,18.46,2000000,2000,1,26.5,ESE,10,30.07,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
2006,3/24/2016 13:51,1:51:00 PM,3667989060,1,53.1,11.72,41,64,24.2,10.82,21.59,2000000,2000,1,28.8,ESE,10,30.05,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
2059,3/26/2016 18:51,6:51:00 PM,3668179860,1,44.1,6.72,36,73,10.4,4.65,9.28,923894.09,923.89,0.46,NA,ESE,10,30.38,38.6,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
2060,3/26/2016 19:51,7:51:00 PM,3668183460,1,44.1,6.72,37.9,79,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,ESE,10,30.39,37.7,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
2080,3/27/2016 15:51,3:51:00 PM,3668255460,1,46.9,8.28,35.1,63,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,ESE,10,30.32,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
2081,3/27/2016 16:51,4:51:00 PM,3668259060,1,45,7.22,35.1,68,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,ESE,10,30.31,39.3,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
2083,3/27/2016 18:51,6:51:00 PM,3668266260,1,44.1,6.72,37,76,10.4,4.65,9.28,923894.09,923.89,0.46,NA,ESE,10,30.27,38.6,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
2085,3/27/2016 20:51,8:51:00 PM,3668273460,1,44.1,6.72,37.9,79,9.2,4.11,8.21,639566.42,639.57,0.32,NA,ESE,10,30.25,39,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
2215,4/2/2016 6:51,6:51:00 AM,3668741460,1,52,11.11,44.1,74,3.5,1.56,3.12,35214.89,35.21,0.02,NA,ESE,10,29.62,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
2218,4/2/2016 9:51,9:51:00 AM,3668752260,1,48.9,9.39,46,90,3.5,1.56,3.12,35214.89,35.21,0.02,NA,ESE,6,29.62,NA,NA,0.06,NA,NA,Light Rain,0,1,0,0,0,0,5
2260,4/4/2016 3:51,3:51:00 AM,3668903460,1,37.9,3.28,21,51,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,ESE,10,30.01,30.5,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
2261,4/4/2016 4:51,4:51:00 AM,3668907060,1,39,3.89,25,57,13.8,6.17,12.31,2000000,2000,1,NA,ESE,10,29.98,31,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
2262,4/4/2016 5:51,5:51:00 AM,3668910660,1,42.1,5.61,28,58,15,6.71,13.38,2000000,2000,1,NA,ESE,10,29.95,34.5,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
2263,4/4/2016 6:51,6:51:00 AM,3668914260,1,42.1,5.61,30.9,65,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,ESE,10,29.94,35.2,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
2266,4/4/2016 9:51,9:51:00 AM,3668925060,1,45,7.22,39.9,82,10.4,4.65,9.28,923894.09,923.89,0.46,NA,ESE,7,29.85,39.7,NA,0.02,NA,NA,Light Rain,0,1,0,0,0,0,5
2565,4/16/2016 20:51,8:51:00 PM,3670001460,1,48,8.89,37,66,9.2,4.11,8.21,639566.42,639.57,0.32,NA,ESE,10,30.45,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
2566,4/16/2016 21:51,9:51:00 PM,3670005060,1,48,8.89,37.9,68,6.9,3.08,6.15,269817.08,269.82,0.13,NA,ESE,10,30.46,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
2781,4/25/2016 20:51,8:51:00 PM,3670779060,1,55,12.78,46.9,74,5.8,2.59,5.17,160252.99,160.25,0.08,NA,ESE,10,29.91,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
2782,4/25/2016 21:51,9:51:00 PM,3670782660,1,55,12.78,48.9,80,5.8,2.59,5.17,160252.99,160.25,0.08,NA,ESE,10,29.91,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
2783,4/25/2016 22:51,10:51:00 PM,3670786260,1,55,12.78,50,83,6.9,3.08,6.15,269817.08,269.82,0.13,NA,ESE,10,29.87,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
2856,4/28/2016 23:51,11:51:00 PM,3671049060,1,48.9,9.39,35.1,59,3.5,1.56,3.12,35214.89,35.21,0.02,NA,ESE,10,30.07,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
2871,4/29/2016 14:51,2:51:00 PM,3671103060,1,55,12.78,28,35,17.3,7.73,15.43,2000000,2000,1,23,ESE,10,30.1,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
2872,4/29/2016 15:51,3:51:00 PM,3671106660,1,54,12.22,25,33,13.8,6.17,12.31,2000000,2000,1,NA,ESE,10,30.1,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
2873,4/29/2016 16:51,4:51:00 PM,3671110260,1,53.1,11.72,32,45,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,ESE,10,30.1,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
2874,4/29/2016 17:51,5:51:00 PM,3671113860,1,52,11.11,33.1,49,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,ESE,10,30.1,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
2875,4/29/2016 18:51,6:51:00 PM,3671117460,1,50,10,33.1,52,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,ESE,10,30.1,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
2876,4/29/2016 19:51,7:51:00 PM,3671121060,1,48,8.89,37,66,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,ESE,10,30.11,NA,NA,0,NA,NA,Light Rain,0,1,0,0,0,0,5
2909,5/1/2016 4:51,4:51:00 AM,3671239860,1,48.9,9.39,37.9,66,5.8,2.59,5.17,160252.99,160.25,0.08,NA,ESE,10,30.21,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
2911,5/1/2016 6:51,6:51:00 AM,3671247060,1,48.9,9.39,37.9,66,5.8,2.59,5.17,160252.99,160.25,0.08,NA,ESE,10,30.23,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
2914,5/1/2016 9:51,9:51:00 AM,3671257860,1,50,10,46,86,10.4,4.65,9.28,923894.09,923.89,0.46,NA,ESE,9,30.22,NA,NA,0.02,NA,NA,Light Rain,0,1,0,0,0,0,5
2915,5/1/2016 10:51,10:51:00 AM,3671261460,1,48.9,9.39,45,86,10.4,4.65,9.28,923894.09,923.89,0.46,NA,ESE,6,30.22,NA,NA,0.04,NA,NA,Light Rain,0,1,0,0,0,0,5
2919,5/1/2016 14:51,2:51:00 PM,3671275860,1,48,8.89,43,83,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,ESE,10,30.17,NA,NA,0,NA,NA,Light Drizzle,0,0,0,0,0,0,5
2920,5/1/2016 15:51,3:51:00 PM,3671279460,1,48,8.89,44.1,86,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,ESE,2.5,30.15,NA,NA,0.01,NA,NA,Light Rain,0,1,0,0,0,0,5
2973,5/3/2016 20:51,8:51:00 PM,3671470260,1,50,10,48,93,6.9,3.08,6.15,269817.08,269.82,0.13,NA,ESE,3,29.87,NA,NA,0,NA,NA,Light Drizzle,0,0,0,0,0,0,5
2976,5/3/2016 23:51,11:51:00 PM,3671481060,1,50,10,48,93,6.9,3.08,6.15,269817.08,269.82,0.13,NA,ESE,3,29.84,NA,NA,0,NA,NA,Light Drizzle,0,0,0,0,0,0,5
3179,5/12/2016 10:51,10:51:00 AM,3672211860,1,73,22.78,35.1,25,6.9,3.08,6.15,269817.08,269.82,0.13,NA,ESE,10,30.14,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
3187,5/12/2016 18:51,6:51:00 PM,3672240660,1,64.9,18.28,45,48,9.2,4.11,8.21,639566.42,639.57,0.32,NA,ESE,10,30.04,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
3195,5/13/2016 2:51,2:51:00 AM,3672269460,1,53.1,11.72,50,89,4.6,2.06,4.1,79945.8,79.95,0.04,NA,ESE,10,29.97,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
3197,5/13/2016 4:51,4:51:00 AM,3672276660,1,55,12.78,52,89,3.5,1.56,3.12,35214.89,35.21,0.02,NA,ESE,10,29.94,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
3327,5/18/2016 14:51,2:51:00 PM,3672744660,1,63,17.22,37,38,13.8,6.17,12.31,2000000,2000,1,NA,ESE,10,30.14,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
3331,5/18/2016 18:51,6:51:00 PM,3672759060,1,55.9,13.28,42.1,60,5.8,2.59,5.17,160252.99,160.25,0.08,NA,ESE,10,30.12,NA,NA,0,NA,NA,Light Rain,0,1,0,0,0,0,5
3333,5/18/2016 20:51,8:51:00 PM,3672766260,1,55,12.78,41,59,3.5,1.56,3.12,35214.89,35.21,0.02,NA,ESE,10,30.11,NA,NA,0,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
3335,5/18/2016 22:51,10:51:00 PM,3672773460,1,54,12.22,46,75,3.5,1.56,3.12,35214.89,35.21,0.02,NA,ESE,10,30.13,NA,NA,0,NA,NA,Light Rain,0,1,0,0,0,0,5
3394,5/21/2016 9:51,9:51:00 AM,3672985860,1,61,16.11,52,72,4.6,2.06,4.1,79945.8,79.95,0.04,NA,ESE,10,30.14,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
3395,5/21/2016 10:51,10:51:00 AM,3672989460,1,61,16.11,51.1,70,5.8,2.59,5.17,160252.99,160.25,0.08,NA,ESE,10,30.14,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
3398,5/21/2016 13:51,1:51:00 PM,3673000260,1,61,16.11,43,52,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,ESE,10,30.08,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
3400,5/21/2016 15:51,3:51:00 PM,3673007460,1,61,16.11,44.1,54,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,ESE,10,30.02,NA,NA,0,NA,NA,Overcast,0,0,0,0,0,0,5
3663,6/1/2016 14:51,2:51:00 PM,3673954260,1,78.1,25.61,55,45,17.3,7.73,15.43,2000000,2000,1,NA,ESE,10,30.11,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
3664,6/1/2016 15:51,3:51:00 PM,3673957860,1,75.9,24.39,57,52,13.8,6.17,12.31,2000000,2000,1,NA,ESE,10,30.11,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
3665,6/1/2016 16:51,4:51:00 PM,3673961460,1,75,23.89,54,48,18.4,8.23,16.41,2000000,2000,1,25.3,ESE,10,30.11,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
3667,6/1/2016 18:51,6:51:00 PM,3673968660,1,70,21.11,55,59,17.3,7.73,15.43,2000000,2000,1,24.2,ESE,10,30.12,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
3682,6/2/2016 9:51,9:51:00 AM,3674022660,1,69.1,20.61,59,70,4.6,2.06,4.1,79945.8,79.95,0.04,NA,ESE,10,30.16,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
3683,6/2/2016 10:51,10:51:00 AM,3674026260,1,68,20,60.1,76,13.8,6.17,12.31,2000000,2000,1,NA,ESE,10,30.17,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
3684,6/2/2016 11:51,11:51:00 AM,3674029860,1,69.1,20.61,61,75,13.8,6.17,12.31,2000000,2000,1,NA,ESE,10,30.15,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
3686,6/2/2016 13:51,1:51:00 PM,3674037060,1,70,21.11,61,73,15,6.71,13.38,2000000,2000,1,NA,ESE,10,30.14,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
3687,6/2/2016 14:51,2:51:00 PM,3674040660,1,69.1,20.61,61,75,13.8,6.17,12.31,2000000,2000,1,NA,ESE,10,30.13,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
3688,6/2/2016 15:51,3:51:00 PM,3674044260,1,69.1,20.61,61,75,13.8,6.17,12.31,2000000,2000,1,NA,ESE,10,30.11,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
3689,6/2/2016 16:51,4:51:00 PM,3674047860,1,68,20,62.1,81,13.8,6.17,12.31,2000000,2000,1,NA,ESE,10,30.1,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
3690,6/2/2016 17:51,5:51:00 PM,3674051460,1,66,18.89,63,90,10.4,4.65,9.28,923894.09,923.89,0.46,NA,ESE,9,30.1,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
3691,6/2/2016 18:51,6:51:00 PM,3674055060,1,64,17.78,61,90,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,ESE,10,30.1,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
3694,6/2/2016 21:51,9:51:00 PM,3674065860,1,64,17.78,60.1,87,9.2,4.11,8.21,639566.42,639.57,0.32,NA,ESE,10,30.1,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
3705,6/3/2016 8:51,8:51:00 AM,3674105460,1,64,17.78,62.1,93,6.9,3.08,6.15,269817.08,269.82,0.13,NA,ESE,7,30.09,NA,NA,0,NA,NA,Light Rain,0,1,0,0,0,0,5
3706,6/3/2016 9:51,9:51:00 AM,3674109060,1,64.9,18.28,62.1,90,6.9,3.08,6.15,269817.08,269.82,0.13,NA,ESE,10,30.08,NA,NA,0.01,NA,NA,Light Rain,0,1,0,0,0,0,5
3707,6/3/2016 10:51,10:51:00 AM,3674112660,1,64.9,18.28,61,87,5.8,2.59,5.17,160252.99,160.25,0.08,NA,ESE,10,30.08,NA,NA,0,NA,NA,Overcast,0,0,0,0,0,0,5
3753,6/5/2016 8:51,8:51:00 AM,3674278260,1,66.9,19.39,64,90,10.4,4.65,9.28,923894.09,923.89,0.46,NA,ESE,10,29.87,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
3754,6/5/2016 9:51,9:51:00 AM,3674281860,1,68,20,64,87,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,ESE,10,29.83,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
3755,6/5/2016 10:51,10:51:00 AM,3674285460,1,68,20,64,87,15,6.71,13.38,2000000,2000,1,21.9,ESE,10,29.82,NA,NA,0,NA,NA,Light Rain,0,1,0,0,0,0,5
3756,6/5/2016 11:51,11:51:00 AM,3674289060,1,68,20,64.9,90,13.8,6.17,12.31,2000000,2000,1,NA,ESE,5,29.79,NA,NA,0.08,NA,NA,Overcast,0,0,0,0,0,0,5
4044,6/17/2016 11:51,11:51:00 AM,3675325860,1,75.9,24.39,55.9,50,16.1,7.2,14.36,2000000,2000,1,NA,ESE,10,29.95,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4047,6/17/2016 14:51,2:51:00 PM,3675336660,1,75,23.89,43,32,15,6.71,13.38,2000000,2000,1,NA,ESE,10,30.01,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4048,6/17/2016 15:51,3:51:00 PM,3675340260,1,73.9,23.28,44.1,34,16.1,7.2,14.36,2000000,2000,1,NA,ESE,10,30.01,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4049,6/17/2016 16:51,4:51:00 PM,3675343860,1,73,22.78,43,34,17.3,7.73,15.43,2000000,2000,1,NA,ESE,10,30.02,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4052,6/17/2016 19:51,7:51:00 PM,3675354660,1,66.9,19.39,48.9,52,8.1,3.62,7.22,436492.95,436.49,0.22,NA,ESE,10,30.06,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4079,6/18/2016 22:51,10:51:00 PM,3675451860,1,68,20,59,73,3.5,1.56,3.12,35214.89,35.21,0.02,NA,ESE,10,30.3,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4080,6/18/2016 23:51,11:51:00 PM,3675455460,1,66,18.89,59,78,4.6,2.06,4.1,79945.8,79.95,0.04,NA,ESE,10,30.31,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4100,6/19/2016 19:51,7:51:00 PM,3675527460,1,69.1,20.61,55,61,10.4,4.65,9.28,923894.09,923.89,0.46,NA,ESE,10,30.28,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4101,6/19/2016 20:51,8:51:00 PM,3675531060,1,66.9,19.39,57,70,9.2,4.11,8.21,639566.42,639.57,0.32,NA,ESE,10,30.28,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4110,6/20/2016 5:51,5:51:00 AM,3675563460,1,64,17.78,60.1,87,4.6,2.06,4.1,79945.8,79.95,0.04,NA,ESE,10,30.22,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4114,6/20/2016 9:51,9:51:00 AM,3675577860,1,73,22.78,62.1,68,6.9,3.08,6.15,269817.08,269.82,0.13,NA,ESE,10,30.19,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4153,6/22/2016 0:51,12:51:00 AM,3675718260,1,75.9,24.39,46,35,4.6,2.06,4.1,79945.8,79.95,0.04,NA,ESE,10,29.82,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4177,6/23/2016 0:51,12:51:00 AM,3675804660,1,73.9,23.28,54,50,4.6,2.06,4.1,79945.8,79.95,0.04,NA,ESE,10,29.92,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4212,6/24/2016 11:51,11:51:00 AM,3675930660,1,84,28.89,50,31,16.1,7.2,14.36,2000000,2000,1,NA,ESE,10,30.06,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4214,6/24/2016 13:51,1:51:00 PM,3675937860,1,82,27.78,51.1,34,21.9,9.79,19.53,2000000,2000,1,NA,ESE,10,30.06,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4215,6/24/2016 14:51,2:51:00 PM,3675941460,1,80.1,26.72,51.1,36,21.9,9.79,19.53,2000000,2000,1,NA,ESE,10,30.07,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4216,6/24/2016 15:51,3:51:00 PM,3675945060,1,78.1,25.61,57,48,18.4,8.23,16.41,2000000,2000,1,NA,ESE,10,30.08,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4217,6/24/2016 16:51,4:51:00 PM,3675948660,1,78.1,25.61,55.9,46,17.3,7.73,15.43,2000000,2000,1,NA,ESE,10,30.07,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4218,6/24/2016 17:51,5:51:00 PM,3675952260,1,75.9,24.39,57,52,17.3,7.73,15.43,2000000,2000,1,NA,ESE,10,30.08,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4219,6/24/2016 18:51,6:51:00 PM,3675955860,1,73.9,23.28,57.9,57,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,ESE,10,30.09,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4220,6/24/2016 19:51,7:51:00 PM,3675959460,1,73,22.78,61,66,9.2,4.11,8.21,639566.42,639.57,0.32,NA,ESE,10,30.09,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4221,6/24/2016 20:51,8:51:00 PM,3675963060,1,70,21.11,62.1,76,4.6,2.06,4.1,79945.8,79.95,0.04,NA,ESE,10,30.1,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4392,7/1/2016 23:51,11:51:00 PM,3676578660,1,72,22.22,68,87,4.6,2.06,4.1,79945.8,79.95,0.04,NA,ESE,10,29.87,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4536,7/7/2016 23:51,11:51:00 PM,3677097060,1,75.9,24.39,73,91,3.5,1.56,3.12,35214.89,35.21,0.02,NA,ESE,10,29.75,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4550,7/8/2016 13:51,1:51:00 PM,3677147460,1,79,26.11,72,79,21.9,9.79,19.53,2000000,2000,1,NA,ESE,10,29.82,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
